course_id,course_name,category,instructor,description,skills,level,duration_weeks,rating,num_reviews
C001,Python for Beginners,Programming,Dr. Ana Silva,"Learn Python programming from scratch covering syntax, data types, loops, functions and basic problem solving.",python programming basics coding,Beginner,6,4.6,1520
C002,Data Structures and Algorithms in Python,Programming,Prof. Raj Mehta,"Master core data structures like arrays, linked lists, trees, graphs and algorithms including sorting and searching.",python dsa algorithms problem-solving,Intermediate,8,4.7,2210
C003,Machine Learning Fundamentals,Data Science,Dr. Sarah Chen,"Introduction to machine learning concepts including supervised and unsupervised learning, regression, classification and clustering.",machine-learning python statistics scikit-learn,Intermediate,10,4.8,3100
C004,Deep Learning with TensorFlow,Data Science,Dr. Michael Wong,"Build and train neural networks using TensorFlow and Keras for image and text applications.",deep-learning tensorflow neural-networks python,Advanced,10,4.7,1890
C005,Web Development with React,Web Development,Ms. Priya Nair,"Learn to build modern single page applications using React, JSX, hooks and state management.",react javascript html css frontend,Intermediate,8,4.5,1740
C006,Full Stack Web Development,Web Development,Mr. John Carter,"Comprehensive course covering HTML, CSS, JavaScript, Node.js, Express and MongoDB to build full stack apps.",javascript nodejs express mongodb fullstack,Intermediate,12,4.6,2450
C007,Introduction to Databases and SQL,Databases,Dr. Elena Petrova,"Learn relational database concepts, SQL queries, joins, normalization and database design.",sql database rdbms mysql postgresql,Beginner,6,4.5,1980
C008,Data Analysis with Pandas,Data Science,Dr. Sarah Chen,"Learn data manipulation and analysis using Pandas including cleaning, transforming and visualizing datasets.",python pandas data-analysis numpy,Beginner,5,4.6,1650
C009,Computer Networks Essentials,Networking,Prof. David Kim,"Understand networking fundamentals including OSI model, TCP/IP, routing, switching and network security basics.",networking tcp-ip osi security,Intermediate,7,4.3,980
C010,Cybersecurity Fundamentals,Security,Ms. Laura Bennett,"Explore core concepts of cybersecurity including cryptography, threat modeling, network defense and ethical hacking basics.",security cryptography ethical-hacking networking,Beginner,8,4.5,1420
C011,Cloud Computing with AWS,Cloud,Mr. Tom Richards,"Learn cloud computing fundamentals and hands-on AWS services like EC2, S3, Lambda and IAM.",aws cloud-computing devops infrastructure,Intermediate,8,4.6,1610
C012,DevOps and CI/CD Pipelines,Cloud,Mr. Tom Richards,"Learn DevOps practices including Docker, Kubernetes, Jenkins and building continuous integration pipelines.",devops docker kubernetes ci-cd automation,Advanced,9,4.5,1120
C013,Java Programming Masterclass,Programming,Dr. Kevin Patel,"Comprehensive Java course covering OOP concepts, collections, exception handling and multithreading.",java oop programming backend,Beginner,9,4.6,2050
C014,Android App Development with Kotlin,Mobile Development,Ms. Nina Rossi,"Build native Android applications using Kotlin, covering UI design, activities, and app lifecycle.",kotlin android mobile-development java,Intermediate,10,4.5,1330
C015,iOS App Development with Swift,Mobile Development,Mr. Chris Evans,"Learn to build iOS applications using Swift and Xcode covering UIKit and SwiftUI basics.",swift ios mobile-development xcode,Intermediate,10,4.4,890
C016,Natural Language Processing,Data Science,Dr. Michael Wong,"Explore NLP techniques including tokenization, sentiment analysis, word embeddings and transformer models.",nlp python deep-learning machine-learning,Advanced,9,4.7,1560
C017,Data Visualization with Matplotlib and Seaborn,Data Science,Dr. Sarah Chen,"Learn to create insightful visualizations and dashboards using Python plotting libraries.",python matplotlib seaborn data-visualization,Beginner,4,4.5,1210
C018,Software Engineering Principles,Software Engineering,Prof. Raj Mehta,"Learn software development lifecycle, design patterns, agile methodology and version control with Git.",software-engineering git agile design-patterns,Intermediate,8,4.4,1040
C019,Artificial Intelligence Foundations,Data Science,Dr. Sarah Chen,"Introductory course to AI covering search algorithms, knowledge representation and intelligent agents.",ai algorithms python problem-solving,Intermediate,9,4.6,1780
C020,Blockchain and Cryptocurrency Basics,Emerging Tech,Mr. Samuel Osei,"Understand blockchain technology, smart contracts, and how cryptocurrencies like Bitcoin and Ethereum work.",blockchain cryptocurrency smart-contracts security,Intermediate,6,4.2,760
C021,UI/UX Design Principles,Design,Ms. Priya Nair,"Learn user interface and user experience design principles, wireframing, prototyping and usability testing.",design ui ux figma prototyping,Beginner,6,4.5,1330
C022,Introduction to Statistics for Data Science,Data Science,Dr. Elena Petrova,"Foundational statistics course covering probability, distributions, hypothesis testing and regression analysis.",statistics probability data-science math,Beginner,7,4.4,1290
C023,C++ Programming and Competitive Coding,Programming,Prof. Raj Mehta,"Master C++ syntax and problem solving techniques for competitive programming and coding interviews.",cpp programming dsa competitive-coding,Intermediate,9,4.6,1870
C024,Operating Systems Concepts,Systems,Dr. Kevin Patel,"Learn core OS concepts including process management, memory management, scheduling and file systems.",operating-systems systems programming concurrency,Intermediate,8,4.3,940
C025,Big Data with Spark and Hadoop,Data Science,Dr. Michael Wong,"Learn distributed data processing using Apache Spark and Hadoop ecosystem for big data applications.",big-data spark hadoop distributed-systems,Advanced,10,4.5,830
